14 14
2154.247642+0*i -5341.028494+0*i 9548.226025+0*i 318.3848072+0*i 125.1462881+0*i 59.55740511+0*i -6786.421964+0*i -4671.157014+0*i -3418.408591+0*i 2663.968352+0*i -5859.41499+0*i -3391.434069+0*i 5893.489579+0*i -4950.843631+0*i
25876.11078+0*i 8507.100599+0*i -1808.141558+0*i 5069.763164+0*i 9790.643321+0*i -9788.889327+0*i 5979.62568+0*i 5233.866472+0*i -11372.08718+0*i 6591.5139+0*i -2145.291921+0*i -4761.147216+0*i -10169.6615+0*i -12974.53514+0*i
0+0*i 15431.33226+0*i -949.7173254+0*i -2509.496216+0*i 933.6034044+0*i -8459.898534+0*i 665.6673942+0*i -1531.564682+0*i 1378.64976+0*i 12886.68776+0*i -4993.145591+0*i -3022.610962+0*i -1318.033049+0*i 1987.496587+0*i
0+0*i 0+0*i -20893.75358+0*i -3482.486961+0*i 1682.555905+0*i 1270.968556+0*i 4887.392851+0*i -4393.057447+0*i 4283.57626+0*i -2122.4774+0*i -8360.044857+0*i 4012.898716+0*i 3891.59446+0*i 140.4008174+0*i
0+0*i 0+0*i 0+0*i 26115.70095+0*i -6313.357995+0*i -9867.677149+0*i 1882.007811+0*i -5642.696298+0*i -2395.010434+0*i 542.3077404+0*i -302.4985976+0*i 2018.848971+0*i 4351.102945+0*i -4173.675738+0*i
0+0*i 0+0*i 0+0*i 0+0*i 17345.9179+0*i -2281.124382+0*i -1811.566655+0*i -1502.288165+0*i -215.2686071+0*i -1639.421364+0*i -7495.785041+0*i 1848.417094+0*i 3544.439192+0*i -7145.50224+0*i
0+0*i 0+0*i 0+0*i 0+0*i 0+0*i -13639.1722+0*i 734.6246616+0*i 19578.15292+0*i -3010.614058+0*i 6345.854213+0*i 830.9751867+0*i 1815.323421+0*i 1292.467687+0*i 8332.114124+0*i
0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 16912.88576+0*i -6076.548644+0*i 4979.557758+0*i -9241.014496+0*i -8863.96625+0*i 8770.031975+0*i -271.9151709+0*i -2382.346188+0*i
0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i -17139.65121+0*i 3017.948167+0*i 10535.3636+0*i 2295.612123+0*i -6834.882307+0*i -7076.244939+0*i -894.065388+0*i
0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 19393.05207+0*i 386.6980172+0*i -6027.134451+0*i 1058.515844+0*i 4078.012474+0*i -4899.906035+0*i
0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 13364.96904+0*i 2400.795489+0*i 8503.647403+0*i 1981.039076+0*i -1358.14799+0*i
0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 11761.39707+0*i 18392.23466+0*i 3383.069077+0*i 136.948201+0*i
0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i -6649.313284+0*i -7542.180427+0*i 1319.335765+0*i
0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 3643.896908+0*i -4118.955133+0*i
