14 14
-19369.88415+0*i -1821.053617+0*i 2538.446086+0*i -9102.567377+0*i -5800.685132+0*i -7045.546109+0*i -16437.18486+0*i 10314.39491+0*i -135.8695715+0*i -1493.945725+0*i -10170.73099+0*i -1291.507748+0*i 6209.051592+0*i -1191.734668+0*i
0+0*i 453.763871+0*i 4032.89595+0*i -1266.872469+0*i -1297.085894+0*i 6487.609648+0*i 3773.696131+0*i -6996.325279+0*i 13032.19564+0*i 5128.07599+0*i -2134.229952+0*i -36.05450763+0*i 4691.591581+0*i 106.81955+0*i
0+0*i 0+0*i 7574.412289+0*i -13607.29328+0*i 9726.821475+0*i 1716.025279+0*i -9836.124426+0*i 4443.937853+0*i 2605.150873+0*i 4719.954775+0*i 3272.139627+0*i 8045.755236+0*i 6809.028996+0*i -778.7823224+0*i
0+0*i 0+0*i 0+0*i 6856.845671+0*i 3922.661161+0*i 4513.255009+0*i -2206.532057+0*i 5236.659742+0*i -4303.890059+0*i -4486.322647+0*i 11864.55167+0*i -1188.741516+0*i 10278.4785+0*i -3967.317075+0*i
0+0*i 0+0*i 0+0*i 0+0*i -5438.57641+0*i 1004.702882+0*i 9361.980243+0*i -1485.350177+0*i -6470.207919+0*i 662.886714+0*i 1167.434627+0*i 7074.402506+0*i 3933.290163+0*i 629.4032095+0*i
0+0*i 0+0*i 0+0*i 0+0*i 0+0*i -7523.794155+0*i 10646.50727+0*i 6043.86536+0*i 6656.558871+0*i -4277.515084+0*i -4308.921436+0*i -9312.885537+0*i 4635.149339+0*i -989.2718764+0*i
0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 17770.70976+0*i -2370.546+0*i -2763.939234+0*i -371.8064527+0*i -2601.136871+0*i 6852.661082+0*i 1047.210514+0*i 1939.379958+0*i
0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 8575.988549+0*i -376.1606396+0*i -1292.346074+0*i 14044.44955+0*i 5993.887357+0*i 2864.251166+0*i -4903.976465+0*i
0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 15095.57328+0*i 3500.030088+0*i -16736.41943+0*i 7091.256667+0*i -3747.867215+0*i 667.8073682+0*i
0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 23047.13203+0*i 8913.255952+0*i 7751.066879+0*i -9773.770915+0*i 8074.490548+0*i
0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 18998.96648+0*i 7455.376772+0*i -4208.929155+0*i -5130.597394+0*i
0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i -20087.97644+0*i 2439.024724+0*i -3780.943789+0*i
0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 17205.98412+0*i 6348.778821+0*i
0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i 0+0*i
