20 20
34.4540474914857+0*i 45.3829101825304+0*i -81.6973665574778+0*i 24.0520072155542+0*i 5.87198049625133+0*i 67.6511175074452+0*i 81.62048330139+0*i 51.7532530160408+0*i 52.7346647327522+0*i 92.7740259943429+0*i -60.3556410972322+0*i 80.3981617413124+0*i -98.2704624243819+0*i -7.75364812170017+0*i -77.83813574257+0*i -61.3132496121816+0*i 79.08470326847+0*i -81.0742260275669+0*i 7.72028773960436+0*i 49.7017914786584+0*i
-13.6977634196218+0*i -25.2304668320037+0*i 22.9253916025892+0*i 20.0524291015256+0*i 65.9964864066391+0*i 16.9437238526641+0*i 10.4350053431669+0*i 99.0431962259504+0*i 11.7641101019121+0*i -76.8748241637482+0*i -60.9856933431478+0*i 40.4132898719351+0*i 45.4159202297054+0*i 27.8647524398713+0*i -18.5080984243202+0*i 50.88491629765+0*i 16.503704933606+0*i -35.3627454477471+0*i 98.340744192391+0*i 8.65988661702177+0*i
38.8807819369109+0*i 16.3164166425731+0*i -97.8041815418377+0*i -65.4790996704663+0*i 71.7518068143608+0*i 89.6217470792044+0*i -93.4120214500247+0*i -62.6857111717262+0*i -63.2314111068451+0*i -89.7103413539589+0*i -34.6320703300049+0*i -24.508979585827+0*i -29.1767067886827+0*i 83.467208173369+0*i 76.8153613323923+0*i -30.747856667045+0*i 16.5493612723583+0*i 53.919385854467+0*i 51.044080335566+0*i -32.3735366951894+0*i
-48.6430873459704+0*i -76.7762974441199+0*i 14.6520766526745+0*i -81.9306523713551+0*i 57.8057846627898+0*i -87.7942141614981+0*i -89.2274147128888+0*i 56.2290537069529+0*i -0.410236996210614+0*i -39.1302108726853+0*i 76.0675720758399+0*i 46.9911850860029+0*i 56.0891892192049+0*i -67.6854852219338+0*i 9.6265554953175+0*i -16.2749171394574+0*i 70.985187793991+0*i -53.1763995082003+0*i 96.0909698860749+0*i 66.4667323241056+0*i
-98.0482700229681+0*i -88.4691277570256+0*i 57.9459716051524+0*i -48.9475594712822+0*i -36.4333892547543+0*i 16.9282606710221+0*i 61.0126457117804+0*i -60.8404037946536+0*i 3.56912004681014+0*i 16.0383666285425+0*i -5.77962699685031+0*i 90.8205572942427+0*i -12.6686716729418+0*i 43.1270808334947+0*i -26.1993846576765+0*i -68.8560339290215+0*i -93.0268599904138+0*i 48.0730939248525+0*i -53.0434718674305+0*i 10.5144356051915+0*i
6.45661421217774+0*i 95.9530447951973+0*i -52.9266453698261+0*i 71.714106251842+0*i -9.55850924740365+0*i -42.9783828682716+0*i -9.72502905931036+0*i 98.4717946359853+0*i 98.8486021288101+0*i 6.1928904676563+0*i -19.2061255658118+0*i 8.56262262071024+0*i -12.6890435255464+0*i 15.5477752384818+0*i -58.3308034373306+0*i 63.8001167853682+0*i 77.0840190969606+0*i 38.5636827663459+0*i 5.71181771053301+0*i 91.5086233924042+0*i
-44.1216069494071+0*i -43.0352546278765+0*i -10.3960573071898+0*i 82.2134106795588+0*i 50.4455940099885+0*i 65.5464346896526+0*i -23.4707540880083+0*i 60.4523139528578+0*i 70.970336618135+0*i 80.2416185306287+0*i -64.1537047153107+0*i 8.02116647187316+0*i -90.1573639287027+0*i -13.3402045581762+0*i -11.8113446951353+0*i 24.9847055692555+0*i -18.4538377288036+0*i 64.8156426732761+0*i -89.7127892866184+0*i 78.5666638636003+0*i
89.2460307039853+0*i 18.9948597619193+0*i 13.8716366569864+0*i 39.9267534451525+0*i -78.0276588498628+0*i -61.8027118605204+0*i 57.9287407379381+0*i -15.1546580193388+0*i 92.4807879423942+0*i 8.11008503404886+0*i 93.7849992294584+0*i -37.7780720791996+0*i -90.073619696122+0*i 76.8485565262188+0*i 91.2392304351756+0*i 47.7120843221296+0*i -92.7235939104336+0*i 65.5955098278974+0*i 51.3750941969245+0*i -28.6992765745991+0*i
81.2886533020004+0*i 92.432206202252+0*i -87.7197115418306+0*i 45.0364710046775+0*i -78.0515262812193+0*i -11.4940075594233+0*i -27.1426261000412+0*i 45.7727736102748+0*i 35.7882017954066+0*i -13.6038778286635+0*i -18.508852439476+0*i -85.7530856150833+0*i -81.7799649173892+0*i -21.3896489246174+0*i -75.1948166703914+0*i 61.0224841413908+0*i 49.2295885475441+0*i -41.3264131983216+0*i 20.395953255102+0*i 9.28037859837745+0*i
-21.4630848051777+0*i -62.8443473182843+0*i -0.742222872023035+0*i -54.0227842285007+0*i -46.0232672591198+0*i -21.3176987264847+0*i 6.46998699978208+0*i -0.329283495289673+0*i -19.2997222391279+0*i 8.53339748726832+0*i 68.8974792966896+0*i -63.6039065661957+0*i 18.8074062888242+0*i -64.2049694744536+0*i -5.84735082660863+0*i -86.5554684873643+0*i -69.0342458497789+0*i -38.1261515154502+0*i 71.4337418244418+0*i -30.6636497490102+0*i
-95.0289532310256+0*i -61.3920368045947+0*i 28.4630469170597+0*i 15.2106912642709+0*i 4.92746907926218+0*i 65.314795808553+0*i 42.3313411962533+0*i 61.7980534398089+0*i 86.9958172356103+0*i 42.4829611579043+0*i 23.0650194261699+0*i -81.4022146258644+0*i -51.7831889661956+0*i 26.6667160640243+0*i 71.3792655564387+0*i 90.1580633011132+0*i -71.2183342650264+0*i 4.60595968839861+0*i 97.6554278516228+0*i 24.5605581318261+0*i
34.287359314492+0*i -31.6711790709717+0*i -55.7468539745791+0*i 62.1256210015878+0*i 94.5302153954994+0*i 35.3742186876838+0*i 74.2953035991693+0*i -28.6982133037908+0*i -4.10309087350369+0*i -96.6650574119535+0*i -24.6777843934526+0*i -7.30215044755136+0*i 68.2738203944287+0*i 24.8001108624688+0*i -91.3219056866094+0*i -0.484597795567865+0*i 21.1918106647494+0*i -34.9402015011148+0*i 85.8968944851235+0*i 59.3249370616792+0*i
