20 20
48.9735712483345+0*i -54.0794936063605+0*i -41.9075016905464+0*i 48.493951397456+0*i 23.9631854521742+0*i 97.0473278829661+0*i 49.2210938837775+0*i 76.0132519452112+0*i -78.3907926768882+0*i 50.3389181709375+0*i -88.8094941185958+0*i 55.0055627963935+0*i -44.192162545077+0*i -43.5589670883555+0*i -32.0027587035663+0*i -79.035557468221+0*i -46.56118854516+0*i 59.1909971112254+0*i -81.6256333457001+0*i -19.0083039765405+0*i
78.4534376462215+0*i 87.2240355004137+0*i -19.4891215873755+0*i 51.5768301241571+0*i -47.8752641211159+0*i 11.8954811974551+0*i 32.5032196870164+0*i -11.1339282601531+0*i -8.02487421153721+0*i -26.3298316742399+0*i 63.3710347547701+0*i 82.8375642487547+0*i 35.0750636833189+0*i 95.1915035759928+0*i 69.342191776106+0*i 71.6705520457516+0*i 50.7472148266123+0*i -53.3252463856865+0*i -19.5822761925907+0*i -65.2855676930565+0*i
-51.4793227440661+0*i 36.6377569399965+0*i 72.4114596866292+0*i -22.1742472861546+0*i -10.868757712085+0*i 86.7183831684418+0*i 4.66266368240191+0*i 51.1828241815922+0*i -9.82344926483391+0*i 88.3635590479768+0*i 5.78449326568571+0*i 56.5101295420599+0*i 80.732905272708+0*i -92.714896894904+0*i -50.7860865787803+0*i 39.6399532359133+0*i 79.6752650011262+0*i 20.1677876869585+0*i -40.9638391940076+0*i 15.0367224935707+0*i
-74.0806048324919+0*i 92.4227591445727+0*i 22.9479100432799+0*i -14.1395030000325+0*i 68.7999022949872+0*i 44.0686412001496+0*i -48.0211437031205+0*i 20.6592751630697+0*i 10.2280671608838+0*i -96.5654918178565+0*i 38.8701121244883+0*i -40.8931607670248+0*i 81.7051797696749+0*i -34.7510853879375+0*i 16.2982504736265+0*i 46.7484266526562+0*i 45.6888067915572+0*i -77.5075243233427+0*i -38.7006441947242+0*i 21.2435865145566+0*i
-54.9864235744173+0*i -12.4053644734404+0*i 98.2375576659586+0*i 91.2689315001317+0*i -60.7590162537496+0*i -3.19229663753164+0*i 92.3987533832345+0*i 56.6531874808072+0*i 61.0808634015995+0*i 65.8111817557601+0*i -57.5190207436332+0*i -69.6308555371031+0*i 49.4393888261426+0*i 94.6027247785641+0*i 87.5353758149551+0*i 30.1061248909825+0*i -18.6339730691023+0*i 3.15313063918288+0*i -78.887773852945+0*i -57.1108519168044+0*i
-29.9972161998468+0*i 88.0673308841814+0*i -59.2602249628756+0*i 14.5942734540969+0*i -39.2296754444695+0*i 27.806218536246+0*i 8.04080750270401+0*i -77.2138722643148+0*i 40.1700145572121+0*i 25.3181949910552+0*i 8.65598924997022+0*i 69.5821044627564+0*i -47.8976985832908+0*i -26.9934749388505+0*i -90.4425415229868+0*i 3.2541131548258+0*i 87.6631680507394+0*i 67.5681381740469+0*i 18.7655209128536+0*i 3.98645101128763+0*i
-42.5830773707648+0*i -98.8331350855258+0*i 65.441816989331+0*i 69.9444108437347+0*i -3.34108645314288+0*i 77.5273731779208+0*i -93.9459673160463+0*i 95.7127770319956+0*i 74.4471007843196+0*i 7.74930303144383+0*i 40.5040544306927+0*i 56.9709182186299+0*i 37.9275680148218+0*i -38.1700762208165+0*i -89.2044681659523+0*i -34.7223729822236+0*i -48.9145090124395+0*i 84.1580215997409+0*i -43.4544967510483+0*i 97.8371619278773+0*i
85.4976014358856+0*i 22.0614060139751+0*i 35.1723237905549+0*i -44.7309367403553+0*i -32.4375912257953+0*i -60.2526499802158+0*i 39.2628926822254+0*i 69.7193350959098+0*i -89.5615695142198+0*i 30.1015270760121+0*i 91.2869114520938+0*i -45.8336995697365+0*i -73.6338669048975+0*i -75.8175230838743+0*i -95.8763931760018+0*i 32.3552393557003+0*i 6.63264812176452+0*i -0.354414108928822+0*i -68.9556758120999+0*i -2.01696751732111+0*i
-89.7372486366409+0*i 60.2151513932239+0*i -50.2101059920384+0*i 24.4647230304901+0*i 59.6971659043098+0*i -20.926745208958+0*i 3.94323158417562+0*i -89.8707004658913+0*i -56.0637377189308+0*i 45.3259064613028+0*i -11.0915674253057+0*i -54.4378590367732+0*i -75.2998335360399+0*i 83.1531408081579+0*i 36.2957028392425+0*i -76.4869030756487+0*i 90.950974075274+0*i -44.4777755471223+0*i -99.8682664827775+0*i 38.9746422374165+0*i
18.5333510412773+0*i -53.4036933172704+0*i -4.84287468609348+0*i 17.6723369227078+0*i 97.4975150378706+0*i 98.4350604990611+0*i -88.1938888671032+0*i -6.75963324187281+0*i -8.0715979777267+0*i -81.1022872158843+0*i -82.920433837471+0*i -35.7953565822098+0*i -61.8194293511018+0*i -72.9043588636996+0*i 19.7257053266469+0*i -70.4365171636787+0*i -46.4504927119808+0*i 30.5039921496588+0*i -43.2809165843237+0*i -17.715634522447+0*i
-67.4202199564535+0*i 86.4937351841957+0*i -20.1849546546416+0*i 92.6936931613983+0*i -68.1904890555211+0*i -19.5296766128104+0*i 78.0072466456426+0*i -34.8693450103933+0*i 91.7067192258019+0*i 75.514786861532+0*i -88.5319704917485+0*i 65.9123608798335+0*i -70.8535801007417+0*i -33.5764216343319+0*i -77.1939930968688+0*i -96.0470672542366+0*i -49.9830758820821+0*i 83.4597607601335+0*i 10.16217499592+0*i -93.0446519800507+0*i
